dataNotificacao,municipioNotificacao,totalUti,totalObitos
2020-04-21,BOM JESUS DO ITABAPOANA,6,0
2020-04-21,CAMBUCI,1,0
2020-04-21,ITABORAI,4,1
2020-04-21,ITAOCARA,4,0
2020-04-21,MIGUEL PEREIRA,10,0
2020-04-21,NITEROI,21,3
2020-04-21,NOVA FRIBURGO,22,0
2020-04-21,PETROPOLIS,32,0
2020-04-21,PIRAI,0,0
2020-04-21,RIO DE JANEIRO,829,24
2020-04-21,SANTO ANTONIO DE PADUA,0,0
2020-04-21,SAO GONCALO,7,2
2020-04-21,TRAJANO DE MORAES,0,0
2020-04-22,APERIBE,0,0
2020-04-22,BELFORD ROXO,39,1
2020-04-22,BOM JESUS DO ITABAPOANA,6,0
2020-04-22,CAMBUCI,1,0
2020-04-22,ITABORAI,2,1
2020-04-22,ITAOCARA,4,0
2020-04-22,MESQUITA,8,0
2020-04-22,MIGUEL PEREIRA,10,0
2020-04-22,NITEROI,21,5
2020-04-22,NOVA FRIBURGO,19,0
2020-04-22,PARACAMBI,0,0
2020-04-22,PETROPOLIS,37,0
2020-04-22,PIRAI,0,0
2020-04-22,RIO DE JANEIRO,933,41
2020-04-22,SANTO ANTONIO DE PADUA,0,0
2020-04-22,SAO GONCALO,9,0
2020-04-22,SAO SEBASTIAO DO ALTO,0,0
2020-04-22,SAQUAREMA,9,0
2020-04-22,TRAJANO DE MORAES,0,0
2020-04-23,APERIBE,0,0
2020-04-23,ARMACAO DOS BUZIOS,0,0
2020-04-23,BELFORD ROXO,40,1
2020-04-23,BOM JESUS DO ITABAPOANA,6,0
2020-04-23,CAMBUCI,1,0
2020-04-23,ITABORAI,2,0
2020-04-23,ITAOCARA,4,0
2020-04-23,MESQUITA,0,6
2020-04-23,MIGUEL PEREIRA,8,1
2020-04-23,NITEROI,18,3
2020-04-23,NOVA FRIBURGO,24,0
2020-04-23,PETROPOLIS,43,2
2020-04-23,PIRAI,0,0
2020-04-23,RIO DE JANEIRO,873,22
2020-04-23,SANTO ANTONIO DE PADUA,0,0
2020-04-23,SAO GONCALO,7,1
2020-04-23,SAO SEBASTIAO DO ALTO,0,0
2020-04-23,TRAJANO DE MORAES,0,0
2020-04-24,APERIBE,0,0
2020-04-24,BELFORD ROXO,40,1
2020-04-24,BOM JESUS DO ITABAPOANA,7,0
2020-04-24,CAMBUCI,2,0
2020-04-24,ITABORAI,6,0
2020-04-24,ITAOCARA,4,0
2020-04-24,MENDES,0,0
2020-04-24,MESQUITA,0,3
2020-04-24,MIGUEL PEREIRA,12,3
2020-04-24,NITEROI,17,4
2020-04-24,NOVA FRIBURGO,27,0
2020-04-24,PETROPOLIS,40,0
2020-04-24,PIRAI,0,0
2020-04-24,RIO DE JANEIRO,880,39
2020-04-24,SANTO ANTONIO DE PADUA,0,0
2020-04-24,SAO GONCALO,7,2
2020-04-24,SAO SEBASTIAO DO ALTO,0,0
2020-04-24,TRAJANO DE MORAES,0,0
2020-04-25,APERIBE,0,0
2020-04-25,BELFORD ROXO,41,0
2020-04-25,BOM JESUS DO ITABAPOANA,6,1
2020-04-25,CAMBUCI,1,0
2020-04-25,ITABORAI,8,0
2020-04-25,ITAOCARA,4,0
2020-04-25,MENDES,0,0
2020-04-25,MESQUITA,2,0
2020-04-25,MIGUEL PEREIRA,12,1
2020-04-25,NITEROI,16,5
2020-04-25,NOVA FRIBURGO,24,1
2020-04-25,PARACAMBI,0,1
2020-04-25,PETROPOLIS,42,0
2020-04-25,PIRAI,0,0
2020-04-25,RIO DE JANEIRO,880,30
2020-04-25,SANTO ANTONIO DE PADUA,0,0
2020-04-25,SAO GONCALO,1,3
2020-04-25,SAQUAREMA,11,0
2020-04-25,TRAJANO DE MORAES,0,0
2020-04-26,APERIBE,0,0
2020-04-26,BELFORD ROXO,36,2
2020-04-26,BOM JESUS DO ITABAPOANA,7,0
2020-04-26,CAMBUCI,1,0
2020-04-26,ITABORAI,3,1
2020-04-26,ITAOCARA,3,0
2020-04-26,MESQUITA,2,0
2020-04-26,MIGUEL PEREIRA,12,1
2020-04-26,NITEROI,15,4
2020-04-26,NOVA FRIBURGO,21,0
2020-04-26,PARACAMBI,0,0
2020-04-26,PETROPOLIS,54,1
2020-04-26,PIRAI,0,1
2020-04-26,RIO DE JANEIRO,891,33
2020-04-26,SANTO ANTONIO DE PADUA,0,0
2020-04-26,SAO GONCALO,0,0
2020-04-26,SAO SEBASTIAO DO ALTO,0,0
2020-04-26,SAQUAREMA,12,1
