dataNotificacao,municipio,totalUti,totalObitos,data,populacao,densidadeDemo,IDHM,PIB,totalUtiRel,totalObitoRel,1dose,2dose,doseU,1doseA,2doseA,doseUA,1dose_rel,2dose_rel,1doseA_rel,2doseA_rel
2021-02-01,QUISSAMA,12,1,2021-01-18,25126,28.4,0.704,101931.44,0.0477592931624612,0.0039799410968717665,,,,,,,,,,
2021-02-01,RESENDE,26,4,2021-01-18,132312,109.35,0.768,64649.16,0.019650523006227705,0.003023157385573493,,,,,,,,,,
2021-02-01,RIO BONITO,8,0,2021-01-18,60573,121.7,0.71,27755.96,0.013207204530071154,0.0,,,,,,,,,,
2021-02-01,RIO CLARO,4,0,2021-01-18,18605,20.81,0.683,21763.04,0.021499596882558453,0.0,,,,,,,,,,
2021-02-01,RIO DE JANEIRO,507,6,2021-01-18,6747815,5265.82,0.799,54426.08,0.007513543272896486,8.891767186859746e-05,4.0,2.0,0.0,9.0,16.0,0.0,5.9278447912398304e-05,2.9639223956199152e-05,0.0001333765078028962,0.00023711379164959321
2021-02-01,SAO FIDELIS,13,0,2021-01-18,38710,36.39,0.691,17997.75,0.033583053474554383,0.0,,,,,,,,,,
2021-02-01,SAO GONCALO,65,6,2021-01-18,1091737,4035.9,0.739,17167.6,0.005953814883987627,0.0005495829123680887,3.0,0.0,0.0,9.0,8.0,0.0,0.00027479145618404435,0.0,0.0008243743685521329,0.0007327772164907849
2021-02-01,SAO JOAO DA BARRA,0,0,2021-01-18,36423,71.96,0.671,199339.81,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.005491035883919501,0.0,0.005491035883919501,0.0
2021-02-01,SAO JOAO DE MERITI,67,1,2021-01-18,472906,13024.56,0.719,19726.47,0.01416772043492787,0.00021145851395414734,,,,,,,,,,
2021-02-01,SAO SEBASTIAO DO ALTO,0,0,2021-01-18,9387,22.35,0.646,21801.76,0.0,0.0,,,,,,,,,,
2021-02-01,SAPUCAIA,10,0,2021-01-18,18249,32.35,0.675,40457.4,0.054797523151953534,0.0,,,,,,,,,,
2021-02-01,SAQUAREMA,16,1,2021-01-18,90583,209.96,0.709,35244.56,0.017663358466820486,0.0011039599041762803,,,,,,,,,,
2021-02-01,TERESOPOLIS,28,1,2021-01-18,184240,212.49,0.73,28503.62,0.015197568389057751,0.0005427702996092054,,,,,,,,,,
2021-02-01,TRAJANO DE MORAES,0,0,2021-01-18,10640,17.44,0.667,18452.36,0.0,0.0,,,,,,,,,,
2021-02-01,TRES RIOS,33,1,2021-01-18,82142,237.42,0.725,48575.26,0.04017433225390178,0.0012174040076939933,,,,,,,,,,
2021-02-01,VALENCA,37,0,2021-01-18,76869,55.06,0.738,33675.61,0.048133838088175986,0.0,,,,,,,,,,
2021-02-01,VASSOURAS,106,0,2021-01-18,37083,63.94,0.714,26624.86,0.28584526602486315,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0026966534530647466,0.0,0.0026966534530647466,0.0
2021-02-01,VOLTA REDONDA,12,1,2021-01-18,273988,1412.75,0.771,50606.58,0.00437975385783319,0.0003649794881527658,,,,,,,,,,
2021-02-02,ANGRA DOS REIS,42,2,2021-01-19,207044,205.45,0.724,44590.88,0.02028554316956782,0.0009659782461698964,6.0,0.0,0.0,6.0,0.0,0.0,0.0028979347385096887,0.0,0.0028979347385096887,0.0
2021-02-02,APERIBE,0,0,2021-01-19,11901,107.92,0.692,15625.88,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.033610620956222165,0.0,0.033610620956222165,0.0
2021-02-02,ARARUAMA,16,0,2021-01-19,134293,175.55,0.718,20480.15,0.01191424720573671,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0044678427021512665,0.0,0.0044678427021512665,0.0
2021-02-02,AREAL,0,0,2021-01-19,12669,102.99,0.684,25200.29,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.007893282816323309,0.0,0.007893282816323309,0.0
2021-02-02,ARMACAO DOS BUZIOS,0,0,2021-01-19,34477,392.16,0.728,76723.42,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.011601937523566436,0.0,0.011601937523566436,0.0
